city,country,temp_max,temp_min
Lucé,FR,5.94,3.75
city,country,temp_max,temp_min
Louviers,FR,7,4.55
city,country,temp_max,temp_min
Lingolsheim,FR,2.23,0.31
city,country,temp_max,temp_min
Les Herbiers,FR,5.04,3.84
city,country,temp_max,temp_min
Le Puy-en-Velay,FR,-0.55,-0.55
city,country,temp_max,temp_min
Le Pontet,FR,10.87,5.06
city,country,temp_max,temp_min
Le Bouscat,FR,10.83,5.06
city,country,temp_max,temp_min
Lattes,FR,10.98,9.47
city,country,temp_max,temp_min
Lanester,FR,8.44,6.16
city,country,temp_max,temp_min
La Crau,FR,12.72,10.13
city,country,temp_max,temp_min
La Chapelle-sur-Erdre,FR,7.29,4.32
city,country,temp_max,temp_min
Hautmont,FR,5.77,4.44
city,country,temp_max,temp_min
Fleury-les-Aubrais,FR,4.1,3.25
city,country,temp_max,temp_min
Firminy,FR,0.28,-1.58
city,country,temp_max,temp_min
Dole,FR,2.95,0
city,country,temp_max,temp_min
Cran-Gevrier,FR,2.4,-0.93
city,country,temp_max,temp_min
Coulommiers,FR,5.88,4.14
city,country,temp_max,temp_min
Couëron,FR,7.34,4.38
city,country,temp_max,temp_min
Coudekerque-Branche,FR,7.25,6.2
city,country,temp_max,temp_min
Châtellerault,FR,4.4,1.4
city,country,temp_max,temp_min
Cesson-Sévigné,FR,7.28,6.39
city,country,temp_max,temp_min
Cavaillon,FR,10.98,4.75
city,country,temp_max,temp_min
Carvin,FR,6.81,5.51
city,country,temp_max,temp_min
Carquefou,FR,7.41,4.44
city,country,temp_max,temp_min
Canteleu,FR,6.4,5.2
city,country,temp_max,temp_min
Bruay-la-Buissière,FR,6.88,5.32
city,country,temp_max,temp_min
Bourg-lès-Valence,FR,4,1.58
city,country,temp_max,temp_min
Pantine,FR,12.07,9.35
city,country,temp_max,temp_min
Languedoc-Roussillon Region,FR,10.51,7.99
city,country,temp_max,temp_min
Marseille,FR,12.7,9.82
city,country,temp_max,temp_min
Arrondissement de Bayonne,FR,14.35,11.09
city,country,temp_max,temp_min
Arrondissement de Digne-les-Bains,FR,8.29,5.83
city,country,temp_max,temp_min
Arrondissement de Mont-de-Marsan,FR,12.99,9.88
city,country,temp_max,temp_min
Centre-Val de Loire,FR,4.16,3.77
city,country,temp_max,temp_min
Cher,FR,3.57,0.97
city,country,temp_max,temp_min
Arrondissement de Bourges,FR,3.27,0.65
city,country,temp_max,temp_min
Arrondissement de Laon,FR,5.93,5.14
city,country,temp_max,temp_min
Audignicourt,FR,4.99,4.53
city,country,temp_max,temp_min
Béthencourt-sur-Mer,FR,6.39,4.68
city,country,temp_max,temp_min
Andrézieux-Bouthéon,FR,-0.25,-0.96
city,country,temp_max,temp_min
Saint-Sandoux,FR,-4.38,-4.38
city,country,temp_max,temp_min
Ambacourt,FR,2.12,-0.06
city,country,temp_max,temp_min
Essonne,FR,5.45,3.8
city,country,temp_max,temp_min
Arrondissement de Romorantin-Lanthenay,FR,4.05,3.66
city,country,temp_max,temp_min
Kerfeunteun,FR,10.24,5.97
city,country,temp_max,temp_min
Arrondissement de Dax,FR,14.63,9.99
city,country,temp_max,temp_min
Deux-Sèvres,FR,1.63,0.64
city,country,temp_max,temp_min
Arrondissement de Niort,FR,1.55,1.19
city,country,temp_max,temp_min
Hautes-Alpes,FR,-0.14,-5.16
city,country,temp_max,temp_min
Le Fango,FR,13.05,10.33
city,country,temp_max,temp_min
Arrondissement de Dinan,FR,6.72,5.18
city,country,temp_max,temp_min
Arrondissement de La Rochelle,FR,4.51,2.05
city,country,temp_max,temp_min
Saint-Médard-d'Aunis,FR,4.36,1.9
city,country,temp_max,temp_min
Saint-Médard-d'Aunis,FR,4.4,1.95
city,country,temp_max,temp_min
Arrondissement d'Amiens,FR,6.46,4.13
city,country,temp_max,temp_min
Arrondissement de Strasbourg,FR,2.39,0.29
city,country,temp_max,temp_min
Arrondissement de Nanterre,FR,6.02,4.31
city,country,temp_max,temp_min
Arrondissement d'Argentan,FR,6.47,6.47
city,country,temp_max,temp_min
Arrondissement de Créteil,FR,6.11,4.45
city,country,temp_max,temp_min
Arrondissement de Saint-Denis,FR,6.09,4.38
city,country,temp_max,temp_min
Juan-les-Pins,FR,14.51,10.21
city,country,temp_max,temp_min
Tarbes,FR,14.36,8.68
city,country,temp_max,temp_min
Arrondissement de Perpignan,FR,12.23,8.44
city,country,temp_max,temp_min
Arrondissement de Caen,FR,7.12,6.25
city,country,temp_max,temp_min
Brie-Comte-Robert,FR,5.84,4.19
city,country,temp_max,temp_min
Arrondissement du Mans,FR,4.99,4.11
city,country,temp_max,temp_min
Loos,FR,7.12,5.85
city,country,temp_max,temp_min
Aubière,FR,0.58,-2.39
city,country,temp_max,temp_min
Viale,FR,8.21,5.36
city,country,temp_max,temp_min
Ville-d'Avray,FR,5.31,3.65
city,country,temp_max,temp_min
Arrondissement de Fontainebleau,FR,6.43,4.32
city,country,temp_max,temp_min
Montreuil,FR,5.7,3.99
city,country,temp_max,temp_min
Chamalières,FR,0.4,-2.56
city,country,temp_max,temp_min
Arrondissement de Nevers,FR,0.33,0.32
city,country,temp_max,temp_min
Rambouillet,FR,5.85,3.65
city,country,temp_max,temp_min
La Seyne-sur-Mer,FR,12.97,10.38
city,country,temp_max,temp_min
Mondeville,FR,7.32,6.44
city,country,temp_max,temp_min
Arrondissement de Châteaudun,FR,5.07,3.43
city,country,temp_max,temp_min
